,Distance (nm),Fe %,Mn %,Cr %,C %,Ni %,Al %,Cu %,NiH %,C2 %,C3 %,C4 %,Ca %,Ga %,H %,Sample Count
65,1.5,129591.1746357804,72412,14493,9981,185348,181189.86747944512,38260,0,0,0,0,54,107,224,632059
66,1.6,114484.8896468392,66705,12862,9364,180511,175210.3427707098,35480,0,0,0,0,54,96,200,595346
67,1.7,100959.3471055292,61311,11332,8495,175626,167590.9381228823,32875,0,0,0,0,47,75,203,558870
68,1.8,89789.3734931884,56829,9868,7895,168944,161253.1233537971,29932,0,0,0,0,52,77,189,525165
69,1.9,78279.39223282361,51973,8589,7161,163112,153946.4659427059,27578,0,0,0,0,36,77,181,491248
70,2.0,68287.0815269076,48121,7731,6522,157742,146727.5383212269,25279,0,0,0,0,26,67,177,460974
71,2.1,59431.738315791605,44147,6617,6140,150864,140359.98607344792,23553,0,0,0,0,51,67,148,431658
72,2.2,51806.2090628684,40525,5676,5333,145042,133886.09334621712,21867,0,0,0,0,25,55,168,404644
73,2.3,45290.7095422424,37016,4857,5061,138619,127083.95025856061,19708,0,0,0,0,23,58,136,378095
74,2.4,38985.8922394116,34198,4191,4701,131453,120434.7263293529,18187,0,0,0,0,26,66,137,352606
75,2.5,33616.231628711605,31156,3421,4228,125108,113885.94405167788,16527,0,0,0,0,30,50,122,328355
76,2.6,28831.9916681156,28985,3041,3770,118633,107675.85426652891,15008,0,0,0,0,29,43,111,306323
77,2.7,24567.2278068956,26103,2599,3422,112814,100481.60952622391,13725,0,0,0,0,26,36,108,284062
78,2.8,21405.207635726398,23753,2104,3072,105598,95052.9565869316,12257,0,0,0,0,21,44,94,263569
79,2.9,18356.983353799198,21762,1796,2625,99488,89100.40289744979,11598,0,0,0,0,15,43,88,245026
80,3.0,15540.953144324,19608,1449,2590,93717,83283.883141081,10480,0,0,0,0,19,34,103,226967
81,3.1,13496.6887091728,18132,1275,2272,87308,78242.8621832932,9396,0,0,0,0,21,31,71,210377
82,3.2,11597.4323046664,16333,1039,2160,80877,72867.5346791666,8572,0,0,0,0,10,23,73,193672
83,3.3,9917.4020951912,14857,868,1917,75483,67084.0149227978,7683,0,0,0,0,21,30,71,178040
84,3.4,8631.1633770148,13736,706,1732,69787,61812.3968777537,7000,0,0,0,0,17,18,56,163594
85,3.5,7526.2219818104,12396,557,1515,64312,57471.2752284526,6264,0,0,0,0,10,14,64,150220
86,3.6,6529.665481429201,11063,454,1407,59659,53237.576341857304,5784,0,0,0,0,10,15,48,138290
87,3.7,5681.529631152,10372,375,1172,55386,49102.569947788,5304,0,0,0,0,11,23,50,127552
88,3.8,5077.6497082032,9384,281,989,51069,45190.1209410508,4724,0,0,0,0,10,13,35,116840
89,3.9,4466.886706782,8674,222,909,46815,41663.4971291955,4415,0,0,0,0,13,11,40,107290
90,4.0,4087.543972844,7938,184,840,42909,38504.714998211,3941,0,0,0,0,10,15,27,98513
91,4.1,3673.38001531,7260,158,756,40087,35303.2815163275,3731,0,0,0,0,3,14,30,91067
92,4.2,3188.9758091164003,6600,117,633,36454,32254.826742779103,3395,0,0,0,0,6,15,32,82743
93,4.3,2955.1015265304,5982,101,600,33210,29037.047014632597,3020,0,0,0,0,14,16,28,75005
94,4.4,2568.5623298584,5382,78,530,29952,26670.2067754646,2675,0,0,0,0,5,8,24,67931
95,4.5,2241.2216035816,4775,84,484,27172,24187.5980078954,2542,0,0,0,0,6,8,16,61550
96,4.6,2109.6466516288,4499,76,411,24556,22023.488038907202,2254,0,0,0,0,5,4,18,55987
97,4.7,1861.5956003,3824,53,336,22079,19763.533025075,2012,0,0,0,0,2,4,21,49983
98,4.8,1649.4947400620001,3493,48,298,19812,17416.0947375155,1892,0,0,0,0,2,8,14,44657
99,4.9,1486.2114707184,3105,44,245,17480,15156.811885679599,1518,0,0,0,0,6,4,16,39082
