,Distance (nm),Fe %,Mn %,Cr %,C %,Ni %,Al %,Cu %
75,2.55,10.244072621219859,9.494351720081792,1.0425015160611057,1.2884233878709017,38.12489905623291,34.70513572988145,5.036370229740395
76,2.65,9.41791065137375,9.467890507610898,0.9933363820474294,1.231462729470177,38.75122492977069,35.172095860236794,4.9023322662834
77,2.75,8.653723178848153,9.194693756780747,0.9154889887703774,1.2053879644371803,39.73835120397898,35.394308232082594,4.8345849830217125
78,2.85,8.12619400771664,9.017501233818003,0.7987547929083938,1.1662427394556016,40.088834896169466,36.085553542740065,4.653202232261493
79,2.95,7.496317932783077,8.886801698791244,0.7334204508330611,1.0719536099313949,40.627245998039854,36.38533277419544,4.736197321136883
80,3.05,6.851939784368483,8.645083351336575,0.6388579037171919,1.1419199245186522,41.31942454290136,36.71950793439515,4.620587184924894
81,3.15,6.419230411394218,8.623854956386086,0.6064093905466721,1.080597753193756,41.52501260380302,37.21349519309654,4.46888049692277
82,3.25,5.9914614677507405,8.437948813324654,0.5367678207949743,1.115898453240755,41.782647779052105,37.6448005740505,4.428463676472108
83,3.35,5.574142073984195,8.350476062006093,0.4878651963263976,1.0774626513337606,42.425724210029344,37.705018560684024,4.318281455501973
84,3.45,5.278902146758653,8.40106909353345,0.4317963584766029,1.059307780285377,42.682397264881985,37.805053655133975,4.281267010391247
85,3.55,5.01306981976554,8.256734074014867,0.37100684730770256,1.0091119814563185,42.83697013294967,38.28049664858431,4.172328351051076
86,3.65,4.724212999435092,8.004080540020404,0.328469001642345,1.0179645050898225,43.16328671581643,38.51738667592069,4.18472402092362
87,3.75,4.4572203464022335,8.13694417422412,0.2941914833526846,0.9194464493049236,43.450905325258105,38.52148770498321,4.1610443405403705
88,3.85,4.347972896682023,8.035484920621329,0.2406192735181792,0.8468770872223459,43.7301981469747,38.69613548410783,4.045143943415938
89,3.95,4.165861551099547,8.089455915542871,0.2070393374741201,0.8477421520899783,43.66011974707627,38.85577856974568,4.117471508775856
90,4.05,4.151434550577386,8.062075339474513,0.18687602197824518,0.8531296655528585,43.579691451437625,39.10656503408558,4.002600014218828
91,4.15,4.035794347736761,7.976268951878708,0.1735882223687102,0.8305866842452209,44.041968798066364,38.78629039367996,4.0990990990990985
92,4.25,3.8565434866566703,7.981618091667675,0.14149232071592696,0.7655097351553997,44.085137259644455,39.00692555663212,4.105695972910873
93,4.35,3.9429217000418957,7.981640359187159,0.13476189840820849,0.80056573311807,44.31131332808518,38.74344138475536,4.029514190027619
94,4.45,3.7831948771001858,7.927062774324682,0.11488496774383597,0.780628626977347,44.115827613633016,39.282126219495986,3.939965239932836
95,4.55,3.643078029228869,7.761703511053317,0.13654096228868662,0.7867360208062418,44.16775032509753,39.316641755356635,4.131989596879064
96,4.65,3.7699189628820586,8.039671193709792,0.13581129378127235,0.7344531808434596,43.88134381701215,39.3557684755311,4.027877055039314
97,4.75,3.726470494635279,7.654736167827688,0.10609336215869965,0.6725918808551525,44.19689326607414,39.5618805049944,4.0275442389302585
98,4.85,3.6956842248157193,7.826047991396501,0.10754374565904153,0.6676674209665494,44.38868102076939,39.02066797552372,4.23901597472722
