,Solute Ions,Ranged Ions,Total Ions,,Center_x (nm) Solute,Center_y (nm) Solute,Center_z (nm) Solute,R_gx (nm) Solute,R_gy (nm) Solute,R_gz (nm) Solute,V_Rg (nm^3) Solute,Extent_x (nm) Solute,Extent_y (nm) Solute,Extent_z (nm) Solute,V_Extent (nm^3) Solute,,Center_x (nm) Ranged,Center_y (nm) Ranged,Center_z (nm) Ranged,R_gx (nm) Ranged,R_gy (nm) Ranged,R_gz (nm) Ranged,V_Rg (nm^3) Ranged,Extent_x (nm) Ranged,Extent_y (nm) Ranged,Extent_z (nm) Ranged,V_Extent (nm^3) Ranged,,Center_x (nm) Total,Center_y (nm) Total,Center_z (nm) Total,R_gx (nm) Total,R_gy (nm) Total,R_gz (nm) Total,V_Rg (nm^3) Total,Extent_x (nm) Total,Extent_y (nm) Total,Extent_z (nm) Total,V_Extent (nm^3) Total,,Center_x (nm) Solute',Center_y (nm) Solute',Center_z (nm) Solute',R_gx (nm) Solute',R_gy (nm) Solute',R_gz (nm) Solute',V_Rg (nm^3) Solute',Extent_x (nm) Solute',Extent_y (nm) Solute',Extent_z (nm) Solute',V_Extent (nm^3) Solute',,Center_x (nm) Ranged',Center_y (nm) Ranged',Center_z (nm) Ranged',R_gx (nm) Ranged',R_gy (nm) Ranged',R_gz (nm) Ranged',V_Rg (nm^3) Ranged',Extent_x (nm) Ranged',Extent_y (nm) Ranged',Extent_z (nm) Ranged',V_Extent (nm^3) Ranged',,Center_x (nm) Total',Center_y (nm) Total',Center_z (nm) Total',R_gx (nm) Total',R_gy (nm) Total',R_gz (nm) Total',V_Rg (nm^3) Total',Extent_x (nm) Total',Extent_y (nm) Total',Extent_z (nm) Total',V_Extent (nm^3) Total',,Fe % Ranged,Mn % Ranged,Cr % Ranged,C % Ranged,Ni % Ranged,Al % Ranged,Cu % Ranged,NiH % Ranged,C2 % Ranged,C3 % Ranged,C4 % Ranged,Ca % Ranged,Ga % Ranged,Rn % Ranged,H % Ranged,,Fe % Total,Mn % Total,Cr % Total,C % Total,Ni % Total,Al % Total,Cu % Total,NiH % Total,C2 % Total,C3 % Total,C4 % Total,Ca % Total,Ga % Total,Rn % Total,H % Total,,Fe Count,Mn Count,Cr Count,C Count,Ni Count,Al Count,Cu Count,NiH Count,C2 Count,C3 Count,C4 Count,Ca Count,Ga Count,Rn Count,H Count
Cluster 466,1154,1154,1326,,3.7128,1.6091,151.3792,0.8531,0.9550,0.8713,2.9733,1.8652,1.9917,1.9920,30.9963,,3.7128,1.6091,151.3792,0.8531,0.9550,0.8713,2.9733,1.8652,1.9917,1.9920,30.9963,,3.7072,1.6085,151.3775,0.8511,0.9463,0.8671,2.9251,1.8787,1.9923,1.9902,31.2031,,3.7128,1.6091,151.3792,0.7639,0.8521,1.0437,2.8457,1.7231,2.0147,2.2850,33.2270,,3.7128,1.6091,151.3792,0.7639,0.8521,1.0437,2.8457,1.7231,2.0147,2.2850,33.2270,,3.7072,1.6085,151.3775,0.7608,0.8502,1.0343,2.8027,1.7193,1.9954,2.2861,32.8511,,25.9965%,11.6118%,1.8198%,0.5199%,24.4367%,8.4055%,12.9983%,0.0867%,0.3466%,0.0000%,0.0000%,0.0000%,0.0000%,13.7782%,0.0000%,,22.6244%,10.1056%,1.5837%,0.4525%,21.2670%,7.3152%,11.3122%,0.0754%,0.3017%,0.0000%,0.0000%,0.0000%,0.0000%,11.9910%,0.0000%,,300,134,21,6,282,97,150,1,4,0,0,0,0,159,0
Cluster 467,1792,1794,1983,,15.6073,8.5764,151.5009,0.9023,0.9347,1.2095,4.2732,2.0484,2.3303,2.7687,55.3599,,15.6072,8.5771,151.5017,0.9023,0.9346,1.2106,4.2764,2.0484,2.3296,2.7678,55.3245,,15.6016,8.5942,151.4843,0.9013,0.9415,1.2101,4.3012,2.0537,2.3125,2.7852,55.4060,,15.6073,8.5764,151.5009,0.8402,0.9755,1.2220,4.1956,1.9148,2.3801,2.7990,53.4340,,15.6072,8.5771,151.5017,0.8402,0.9752,1.2232,4.1983,1.9163,2.3802,2.7987,53.4702,,15.6016,8.5942,151.4843,0.8393,0.9813,1.2230,4.2192,1.9226,2.4343,2.8106,55.1003,,25.0836%,11.3155%,2.1739%,0.5574%,23.6901%,8.6957%,14.1583%,0.0000%,0.0557%,0.3344%,0.0557%,0.0557%,0.0557%,13.7681%,0.0000%,,22.6929%,10.2370%,1.9667%,0.5043%,21.4322%,7.8669%,12.8089%,0.0000%,0.0504%,0.3026%,0.0504%,0.0504%,0.0504%,12.4559%,0.0000%,,450,203,39,10,425,156,254,0,1,6,1,1,1,247,0
Cluster 468,1547,1547,1731,,26.4580,-16.9235,152.8969,0.8930,0.9536,0.9066,3.2336,2.1391,2.2670,2.0000,40.6251,,26.4580,-16.9235,152.8969,0.8930,0.9536,0.9066,3.2336,2.1391,2.2670,2.0000,40.6251,,26.4708,-16.9032,152.8855,0.8919,0.9580,0.9080,3.2497,2.1518,2.2874,2.0411,42.0808,,26.4580,-16.9235,152.8969,0.7675,0.9155,1.0495,3.0889,1.8677,2.0630,2.5265,40.7758,,26.4580,-16.9235,152.8969,0.7675,0.9155,1.0495,3.0889,1.8677,2.0630,2.5265,40.7758,,26.4708,-16.9032,152.8855,0.7665,0.9215,1.0493,3.1045,1.8402,2.0671,2.5021,39.8686,,27.0200%,12.1526%,2.2624%,0.3878%,20.9438%,10.2780%,10.7951%,0.1293%,0.6464%,0.1939%,0.0000%,0.0000%,0.0000%,15.1907%,0.0000%,,24.1479%,10.8608%,2.0220%,0.3466%,18.7175%,9.1854%,9.6476%,0.1155%,0.5777%,0.1733%,0.0000%,0.0000%,0.0000%,13.5760%,0.0000%,,418,188,35,6,324,159,167,2,10,3,0,0,0,235,0
Cluster 469,3127,3129,3470,,11.8528,-8.8382,153.3504,1.1689,1.0559,1.4197,7.3400,2.5825,2.3778,3.1225,80.3183,,11.8525,-8.8392,153.3497,1.1686,1.0564,1.4196,7.3408,2.5829,2.3768,3.1218,80.2779,,11.8506,-8.8427,153.3448,1.1652,1.0595,1.4195,7.3409,2.5847,2.3733,3.1169,80.0887,,11.8528,-8.8382,153.3504,0.9905,1.0548,1.5502,6.7843,2.3130,2.3898,3.4714,80.3766,,11.8525,-8.8392,153.3497,0.9908,1.0551,1.5498,6.7864,2.3117,2.3857,3.4720,80.2069,,11.8506,-8.8427,153.3448,0.9884,1.0585,1.5486,6.7861,2.3029,2.3727,3.4708,79.4367,,24.3848%,13.0393%,2.5248%,0.3196%,25.1198%,8.8207%,11.1537%,0.0639%,0.1918%,0.1278%,0.0000%,0.0320%,0.0320%,14.1898%,0.0000%,,21.9885%,11.7579%,2.2767%,0.2882%,22.6513%,7.9539%,10.0576%,0.0576%,0.1729%,0.1153%,0.0000%,0.0288%,0.0288%,12.7954%,0.0000%,,763,408,79,10,786,276,349,2,6,4,0,1,1,444,0
Cluster 470,4048,4050,4610,,-2.8738,-0.5256,153.8668,1.2477,1.3734,1.4623,10.4955,2.7950,3.4744,3.5767,145.4899,,-2.8735,-0.5263,153.8679,1.2477,1.3734,1.4627,10.4997,2.7953,3.4751,3.5778,145.5795,,-2.8594,-0.5210,153.8680,1.2473,1.3715,1.4614,10.4722,2.8093,3.4698,3.5779,146.0944,,-2.8738,-0.5256,153.8668,1.1825,1.2130,1.6466,9.8936,2.5794,2.6184,3.7069,104.8722,,-2.8735,-0.5263,153.8679,1.1825,1.2128,1.6473,9.8957,2.5795,2.6155,3.7085,104.8012,,-2.8594,-0.5210,153.8680,1.1905,1.2131,1.6382,9.9102,2.5734,2.6323,3.7154,105.4242,,24.6667%,11.8519%,2.3951%,0.4691%,25.7531%,9.3086%,10.7654%,0.0741%,0.4691%,0.3210%,0.0000%,0.0247%,0.0247%,13.8765%,0.0000%,,21.6703%,10.4121%,2.1041%,0.4121%,22.6247%,8.1779%,9.4577%,0.0651%,0.4121%,0.2820%,0.0000%,0.0217%,0.0217%,12.1909%,0.0000%,,999,480,97,19,1043,377,436,3,19,13,0,1,1,562,0
Cluster 471,6003,6004,6656,,17.0448,1.5368,154.9722,1.2913,1.3059,2.0352,14.3766,2.8501,3.1940,4.3475,165.7747,,17.0447,1.5369,154.9726,1.2912,1.3059,2.0353,14.3753,2.8500,3.1938,4.3479,165.7804,,17.0438,1.5538,154.9685,1.2959,1.3059,2.0295,14.3868,2.8491,3.1770,4.3439,164.7000,,17.0448,1.5368,154.9722,1.1289,1.3117,2.1261,13.1870,2.5005,3.1108,4.5419,147.9897,,17.0447,1.5369,154.9726,1.1288,1.3116,2.1261,13.1859,2.5005,3.1105,4.5423,147.9855,,17.0438,1.5538,154.9685,1.1285,1.3160,2.1209,13.1935,2.5199,3.1337,4.5416,150.2215,,24.8168%,12.9580%,2.3651%,0.3664%,24.7335%,9.5270%,9.8934%,0.0833%,0.2665%,0.1666%,0.0000%,0.0000%,0.0167%,14.8068%,0.0000%,,22.3858%,11.6887%,2.1334%,0.3305%,22.3107%,8.5938%,8.9243%,0.0751%,0.2404%,0.1502%,0.0000%,0.0000%,0.0150%,13.3564%,0.0000%,,1490,778,142,22,1485,572,594,5,16,10,0,0,1,889,0
Cluster 472,316,316,363,,29.8589,3.1802,151.8036,0.6000,0.5663,0.5421,0.7716,1.3505,1.3475,1.2437,9.4807,,29.8589,3.1802,151.8036,0.6000,0.5663,0.5421,0.7716,1.3505,1.3475,1.2437,9.4807,,29.8572,3.1828,151.8017,0.5934,0.5691,0.5427,0.7677,1.4609,1.3502,1.2418,10.2599,,29.8589,3.1802,151.8036,0.4680,0.5884,0.6398,0.7380,1.0413,1.2981,1.3545,7.6689,,29.8589,3.1802,151.8036,0.4680,0.5884,0.6398,0.7380,1.0413,1.2981,1.3545,7.6689,,29.8572,3.1828,151.8017,0.4729,0.5879,0.6334,0.7377,1.0426,1.2785,1.3506,7.5410,,30.0633%,11.7089%,1.2658%,0.6329%,20.2532%,9.1772%,11.3924%,0.0000%,0.6329%,0.0000%,0.0000%,0.0000%,0.0000%,14.8734%,0.0000%,,26.1708%,10.1928%,1.1019%,0.5510%,17.6309%,7.9890%,9.9174%,0.0000%,0.5510%,0.0000%,0.0000%,0.0000%,0.0000%,12.9477%,0.0000%,,95,37,4,2,64,29,36,0,2,0,0,0,0,47,0
Cluster 473,1894,1896,2123,,24.0816,6.6469,152.8447,0.9433,1.1907,1.0509,4.9441,2.0638,2.6814,2.2708,52.6375,,24.0831,6.6466,152.8449,0.9438,1.1901,1.0515,4.9476,2.0652,2.6817,2.2710,52.6848,,24.0825,6.6515,152.8392,0.9388,1.1956,1.0534,4.9526,2.0647,2.6768,2.2653,52.4429,,24.0816,6.6469,152.8447,0.9354,1.0465,1.2008,4.9234,1.9831,2.3922,2.6266,52.1942,,24.0831,6.6466,152.8449,0.9359,1.0472,1.2002,4.9271,1.9816,2.3916,2.6264,52.1370,,24.0825,6.6515,152.8392,0.9309,1.0502,1.2045,4.9329,1.9729,2.3924,2.6316,52.0291,,27.2152%,12.1308%,2.4262%,0.1055%,24.3671%,9.3354%,10.8650%,0.0527%,0.5802%,0.4219%,0.0000%,0.0000%,0.1055%,12.3945%,0.0000%,,24.3052%,10.8337%,2.1667%,0.0942%,21.7617%,8.3373%,9.7033%,0.0471%,0.5181%,0.3768%,0.0000%,0.0000%,0.0942%,11.0692%,0.0000%,,516,230,46,2,462,177,206,1,11,8,0,0,2,235,0
Cluster 474,1121,1121,1270,,-16.7519,21.7641,152.9529,0.7882,0.8058,0.9795,2.6058,1.6532,1.8167,2.1209,26.6829,,-16.7519,21.7641,152.9529,0.7882,0.8058,0.9795,2.6058,1.6532,1.8167,2.1209,26.6829,,-16.7536,21.7645,152.9515,0.7911,0.7977,0.9817,2.5950,1.6550,1.8172,2.1223,26.7348,,-16.7519,21.7641,152.9529,0.7761,0.8168,0.9800,2.6022,1.6552,1.8679,2.1025,27.2281,,-16.7519,21.7641,152.9529,0.7761,0.8168,0.9800,2.6022,1.6552,1.8679,2.1025,27.2281,,-16.7536,21.7645,152.9515,0.7787,0.8094,0.9820,2.5927,1.7304,1.8322,2.1137,28.0698,,22.1231%,12.1320%,1.6949%,0.0892%,25.4237%,9.5450%,13.2917%,0.0000%,0.2676%,0.3568%,0.1784%,0.0000%,0.0000%,14.8974%,0.0000%,,19.5276%,10.7087%,1.4961%,0.0787%,22.4409%,8.4252%,11.7323%,0.0000%,0.2362%,0.3150%,0.1575%,0.0000%,0.0000%,13.1496%,0.0000%,,248,136,19,1,285,107,149,0,3,4,2,0,0,167,0
Cluster 475,2019,2020,2324,,3.4997,29.0920,152.9490,0.7932,1.9245,1.2758,8.1572,2.0750,3.7567,3.1865,104.0468,,3.4991,29.0934,152.9494,0.7935,1.9250,1.2756,8.1620,2.0743,3.7581,3.1860,104.0361,,3.5078,29.1271,152.9788,0.7971,1.9250,1.2829,8.2458,2.0831,3.7918,3.1567,104.4421,,3.4997,29.0920,152.9490,0.7537,0.8987,2.1412,6.0751,1.7614,2.1450,4.1460,65.6150,,3.4991,29.0934,152.9494,0.7537,0.8987,2.1416,6.0767,1.7605,2.1458,4.1472,65.6265,,3.5078,29.1271,152.9788,0.7579,0.8937,2.1480,6.0939,1.7603,2.1782,4.1910,67.3110,,28.2178%,12.7723%,3.1188%,0.4950%,22.5248%,10.2475%,11.7327%,0.0990%,0.0990%,0.2475%,0.0000%,0.0495%,0.0000%,10.3960%,0.0000%,,24.5267%,11.1015%,2.7108%,0.4303%,19.5783%,8.9071%,10.1979%,0.0861%,0.0861%,0.2151%,0.0000%,0.0430%,0.0000%,9.0361%,0.0000%,,570,258,63,10,455,207,237,2,2,5,0,1,0,210,0
Cluster 476,943,944,1030,,16.7298,-16.3068,153.2265,0.6879,0.9037,0.7333,1.9092,1.6329,2.0244,1.7019,23.5660,,16.7299,-16.3066,153.2268,0.6875,0.9032,0.7329,1.9063,1.6329,2.0242,1.7022,23.5678,,16.7304,-16.3069,153.2272,0.6917,0.9054,0.7274,1.9082,1.6334,2.0245,1.7026,23.5843,,16.7298,-16.3068,153.2265,0.6711,0.7330,0.9164,1.8882,1.5126,1.6523,2.1443,22.4484,,16.7299,-16.3066,153.2268,0.6707,0.7327,0.9159,1.8854,1.5123,1.6526,2.1444,22.4497,,16.7304,-16.3069,153.2272,0.6724,0.7298,0.9179,1.8868,1.5215,1.6642,2.1233,22.5196,,27.0127%,13.5593%,2.1186%,0.4237%,20.2331%,10.3814%,11.6525%,0.2119%,0.3178%,0.7415%,0.0000%,0.0000%,0.1059%,13.2415%,0.0000%,,24.7573%,12.4272%,1.9417%,0.3883%,18.5437%,9.5146%,10.6796%,0.1942%,0.2913%,0.6796%,0.0000%,0.0000%,0.0971%,12.1359%,0.0000%,,255,128,20,4,191,98,110,2,3,7,0,0,1,125,0
Cluster 477,1420,1420,1566,,19.7096,-6.8718,153.7180,0.7704,0.8355,1.0381,2.7992,1.7382,1.8734,2.4997,34.0965,,19.7096,-6.8718,153.7180,0.7704,0.8355,1.0381,2.7992,1.7382,1.8734,2.4997,34.0965,,19.7034,-6.8693,153.6997,0.7763,0.8363,1.0315,2.8049,1.7320,1.8708,2.5181,34.1776,,19.7096,-6.8718,153.7180,0.7585,0.8419,1.0418,2.7866,1.7519,1.8890,2.4774,34.3418,,19.7096,-6.8718,153.7180,0.7585,0.8419,1.0418,2.7866,1.7519,1.8890,2.4774,34.3418,,19.7034,-6.8693,153.6997,0.7664,0.8383,1.0372,2.7912,1.7490,1.8522,2.4846,33.7140,,27.3944%,10.8451%,2.1831%,0.4930%,23.4507%,8.0986%,12.5352%,0.0704%,0.3521%,0.2113%,0.0000%,0.0000%,0.0000%,14.3662%,0.0000%,,24.8404%,9.8340%,1.9796%,0.4470%,21.2644%,7.3436%,11.3665%,0.0639%,0.3193%,0.1916%,0.0000%,0.0000%,0.0000%,13.0268%,0.0000%,,389,154,31,7,333,115,178,1,5,3,0,0,0,204,0
Cluster 478,2050,2051,2331,,17.7161,14.9029,154.0342,1.0825,0.9287,1.3306,5.6034,2.4558,2.2503,3.0051,69.5636,,17.7155,14.9032,154.0348,1.0826,0.9286,1.3306,5.6030,2.4552,2.2506,3.0045,69.5408,,17.7126,14.8939,154.0200,1.0850,0.9296,1.3285,5.6131,2.4523,2.2412,3.0193,69.5101,,17.7161,14.9029,154.0342,0.9125,1.0331,1.3802,5.4501,2.1743,2.3626,3.0215,65.0193,,17.7155,14.9032,154.0348,0.9122,1.0337,1.3799,5.4503,2.1742,2.3617,3.0210,64.9763,,17.7126,14.8939,154.0200,0.9109,1.0400,1.3766,5.4625,2.1525,2.3753,3.0361,65.0252,,24.8659%,12.1892%,1.8040%,0.2438%,25.1585%,9.7513%,13.7981%,0.0488%,0.3413%,0.2438%,0.0000%,0.0488%,0.0000%,11.5066%,0.0000%,,21.8790%,10.7250%,1.5873%,0.2145%,22.1364%,8.5800%,12.1407%,0.0429%,0.3003%,0.2145%,0.0000%,0.0429%,0.0000%,10.1244%,0.0000%,,510,250,37,5,516,200,283,1,7,5,0,1,0,236,0
Cluster 479,555,556,634,,9.7932,22.5105,152.8401,0.6817,0.5929,0.8571,1.4512,1.6228,1.4635,1.7269,17.1808,,9.7952,22.5101,152.8387,0.6826,0.5925,0.8569,1.4517,1.6209,1.4631,1.7283,17.1687,,9.8139,22.5112,152.8264,0.6971,0.5939,0.8566,1.4853,1.6021,1.4643,1.7405,17.1039,,9.7932,22.5105,152.8401,0.5860,0.6859,0.8585,1.4455,1.4157,1.5881,1.7456,16.4396,,9.7952,22.5101,152.8387,0.5855,0.6867,0.8584,1.4458,1.4158,1.5826,1.7491,16.4171,,9.8139,22.5112,152.8264,0.5807,0.7073,0.8572,1.4748,1.3991,1.6009,1.7383,16.3095,,23.5612%,13.1295%,2.1583%,0.3597%,27.1583%,7.0144%,14.0288%,0.0000%,0.3597%,0.0000%,0.0000%,0.1799%,0.0000%,12.0504%,0.0000%,,20.6625%,11.5142%,1.8927%,0.3155%,23.8170%,6.1514%,12.3028%,0.0000%,0.3155%,0.0000%,0.0000%,0.1577%,0.0000%,10.5678%,0.0000%,,131,73,12,2,151,39,78,0,2,0,0,1,0,67,0
Cluster 480,2451,2452,2750,,-10.2351,27.9858,153.9314,1.2788,1.0666,1.2425,7.0987,2.7696,2.3799,2.8142,77.7006,,-10.2358,27.9865,153.9306,1.2791,1.0668,1.2429,7.1040,2.7704,2.3793,2.8150,77.7239,,-10.2307,27.9896,153.9404,1.2843,1.0715,1.2467,7.1862,2.7652,2.3762,2.8052,77.2075,,-10.2351,27.9858,153.9314,0.9301,1.0429,1.5375,6.2474,2.0597,2.3094,3.4413,68.5666,,-10.2358,27.9865,153.9306,0.9300,1.0427,1.5384,6.2490,2.0601,2.3094,3.4425,68.6037,,-10.2307,27.9896,153.9404,0.9285,1.0403,1.5515,6.2779,2.0713,2.3057,3.4934,69.8833,,25.1224%,12.3165%,2.2838%,0.7341%,25.6933%,8.7276%,9.2170%,0.1631%,0.3670%,0.2855%,0.0000%,0.0000%,0.0408%,15.0489%,0.0000%,,22.4000%,10.9818%,2.0364%,0.6545%,22.9091%,7.7818%,8.2182%,0.1455%,0.3273%,0.2545%,0.0000%,0.0000%,0.0364%,13.4182%,0.0000%,,616,302,56,18,630,214,226,4,9,7,0,0,1,369,0
Cluster 481,539,539,591,,-4.5171,-33.0549,154.2412,0.5990,0.6095,0.6997,1.0702,1.4247,1.3248,1.5546,12.2907,,-4.5171,-33.0549,154.2412,0.5990,0.6095,0.6997,1.0702,1.4247,1.3248,1.5546,12.2907,,-4.5162,-33.0523,154.2465,0.6070,0.6080,0.6942,1.0732,1.4256,1.3223,1.5493,12.2338,,-4.5171,-33.0549,154.2412,0.5974,0.6097,0.7009,1.0695,1.3925,1.3178,1.5419,11.8526,,-4.5171,-33.0549,154.2412,0.5974,0.6097,0.7009,1.0695,1.3925,1.3178,1.5419,11.8526,,-4.5162,-33.0523,154.2465,0.5980,0.6150,0.6959,1.0720,1.3271,1.3358,1.5289,11.3525,,21.7069%,13.9147%,2.2263%,0.3711%,23.7477%,6.8646%,14.8423%,0.3711%,0.0000%,0.3711%,0.0000%,0.0000%,0.0000%,15.5844%,0.0000%,,19.7970%,12.6904%,2.0305%,0.3384%,21.6582%,6.2606%,13.5364%,0.3384%,0.0000%,0.3384%,0.0000%,0.0000%,0.0000%,14.2132%,0.0000%,,117,75,12,2,128,37,80,2,0,2,0,0,0,84,0
Cluster 482,631,631,708,,-26.5354,-4.3263,154.1290,0.7205,0.7192,0.8265,1.7941,1.7659,1.5892,1.6931,19.9023,,-26.5354,-4.3263,154.1290,0.7205,0.7192,0.8265,1.7941,1.7659,1.5892,1.6931,19.9023,,-26.5237,-4.3307,154.1156,0.7158,0.7203,0.8198,1.7703,1.7775,1.5936,1.6797,19.9305,,-26.5354,-4.3263,154.1290,0.6506,0.7283,0.8752,1.7370,1.4728,1.6523,1.8426,18.7817,,-26.5354,-4.3263,154.1290,0.6506,0.7283,0.8752,1.7370,1.4728,1.6523,1.8426,18.7817,,-26.5237,-4.3307,154.1156,0.6471,0.7289,0.8679,1.7145,1.4775,1.6297,1.8665,18.8265,,22.1870%,12.6783%,1.9017%,0.0000%,24.7227%,9.6672%,12.8368%,0.4754%,0.3170%,0.3170%,0.0000%,0.0000%,0.0000%,14.8970%,0.0000%,,19.7740%,11.2994%,1.6949%,0.0000%,22.0339%,8.6158%,11.4407%,0.4237%,0.2825%,0.2825%,0.0000%,0.0000%,0.0000%,13.2768%,0.0000%,,140,80,12,0,156,61,81,3,2,2,0,0,0,94,0
Cluster 483,6111,6112,6768,,4.6099,-19.6005,156.6690,1.5717,1.5534,1.5905,16.2656,3.6366,3.3928,3.5655,184.2752,,4.6098,-19.6004,156.6687,1.5716,1.5533,1.5905,16.2639,3.6365,3.3928,3.5652,184.2504,,4.6112,-19.5959,156.6638,1.5726,1.5582,1.5887,16.3070,3.6379,3.3882,3.5603,183.8235,,4.6099,-19.6005,156.6690,1.2847,1.3858,1.9601,14.6175,2.8219,2.9760,4.4851,157.7760,,4.6098,-19.6004,156.6687,1.2846,1.3858,1.9601,14.6158,2.8219,2.9763,4.4848,157.7796,,4.6112,-19.5959,156.6638,1.2841,1.3765,1.9701,14.5869,2.8083,2.9807,4.4801,157.0857,,24.8200%,11.8292%,2.5524%,0.3436%,25.8671%,9.9967%,8.1970%,0.0654%,0.1800%,0.2618%,0.0000%,0.0000%,0.0164%,15.8704%,0.0000%,,22.4143%,10.6826%,2.3050%,0.3103%,23.3599%,9.0278%,7.4025%,0.0591%,0.1625%,0.2364%,0.0000%,0.0000%,0.0148%,14.3322%,0.0000%,,1517,723,156,21,1581,611,501,4,11,16,0,0,1,970,0
Cluster 484,1331,1334,1551,,28.9580,10.5515,155.2168,0.8923,1.0189,0.8836,3.3649,2.0531,2.4303,2.0266,42.3574,,28.9590,10.5526,155.2167,0.8925,1.0188,0.8830,3.3630,2.0521,2.4292,2.0266,42.3170,,28.9654,10.5653,155.2109,0.8927,1.0208,0.8814,3.3646,2.0457,2.4165,2.0207,41.8445,,28.9580,10.5515,155.2168,0.8134,0.9566,1.0190,3.3211,1.8572,2.1396,2.4326,40.4923,,28.9590,10.5526,155.2167,0.8139,0.9558,1.0189,3.3201,1.8572,2.1395,2.4312,40.4648,,28.9654,10.5653,155.2109,0.8148,0.9534,1.0213,3.3233,1.8688,2.1366,2.4185,40.4505,,26.3868%,12.2189%,2.4738%,0.3748%,23.0135%,8.0210%,13.5682%,0.0000%,0.0750%,0.1499%,0.0000%,0.0000%,0.2249%,13.4933%,0.0000%,,22.6950%,10.5093%,2.1277%,0.3224%,19.7937%,6.8988%,11.6699%,0.0000%,0.0645%,0.1289%,0.0000%,0.0000%,0.1934%,11.6054%,0.0000%,,352,163,33,5,307,107,181,0,1,2,0,0,3,180,0
Cluster 485,455,455,512,,-8.2013,15.1097,155.1798,0.6540,0.6135,0.6307,1.0599,1.4776,1.4935,1.5361,14.1996,,-8.2013,15.1097,155.1798,0.6540,0.6135,0.6307,1.0599,1.4776,1.4935,1.5361,14.1996,,-8.2074,15.1094,155.2017,0.6529,0.6173,0.6319,1.0668,1.4838,1.4932,1.5143,14.0537,,-8.2013,15.1097,155.1798,0.5756,0.6027,0.7122,1.0350,1.2658,1.3627,1.4787,10.6831,,-8.2013,15.1097,155.1798,0.5756,0.6027,0.7122,1.0350,1.2658,1.3627,1.4787,10.6831,,-8.2074,15.1094,155.2017,0.5830,0.6082,0.7049,1.0470,1.2903,1.3443,1.4790,10.7464,,21.0989%,10.9890%,2.1978%,0.2198%,24.3956%,9.8901%,17.1429%,0.0000%,0.0000%,0.2198%,0.0000%,0.0000%,0.0000%,13.8462%,0.0000%,,18.7500%,9.7656%,1.9531%,0.1953%,21.6797%,8.7891%,15.2344%,0.0000%,0.0000%,0.1953%,0.0000%,0.0000%,0.0000%,12.3047%,0.0000%,,96,50,10,1,111,45,78,0,0,1,0,0,0,63,0
Cluster 486,111,112,123,,1.6814,17.1789,153.9536,0.3610,0.3917,0.4523,0.2679,0.8126,0.8827,0.8698,2.6133,,1.6818,17.1773,153.9521,0.3594,0.3903,0.4505,0.2647,0.8129,0.8843,0.8683,2.6144,,1.6747,17.1779,153.9669,0.3686,0.3879,0.4393,0.2631,0.8058,0.8836,0.8831,2.6340,,1.6814,17.1789,153.9536,0.3480,0.3812,0.4710,0.2617,0.8467,0.8749,0.9377,2.9098,,1.6818,17.1773,153.9521,0.3465,0.3797,0.4693,0.2586,0.8478,0.8751,0.9348,2.9050,,1.6747,17.1779,153.9669,0.3557,0.3761,0.4597,0.2576,0.7941,0.9020,0.9386,2.8161,,21.4286%,14.2857%,1.7857%,0.0000%,19.6429%,10.7143%,16.9643%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.8929%,14.2857%,0.0000%,,19.5122%,13.0081%,1.6260%,0.0000%,17.8862%,9.7561%,15.4472%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.8130%,13.0081%,0.0000%,,24,16,2,0,22,12,19,0,0,0,0,0,1,16,0
Cluster 487,3514,3519,4134,,29.8078,17.4938,156.9077,1.2757,1.3029,1.4664,10.2102,2.8471,3.1365,3.2222,120.5298,,29.8088,17.4918,156.9078,1.2752,1.3034,1.4670,10.2143,2.8461,3.1345,3.2224,120.4160,,29.8278,17.4912,156.8973,1.2814,1.2989,1.4651,10.2140,2.8272,3.1340,3.2118,119.2018,,29.8078,17.4938,156.9077,1.1698,1.2928,1.5606,9.8870,2.7551,3.4155,3.3738,132.9839,,29.8088,17.4918,156.9078,1.1703,1.2925,1.5612,9.8915,2.7561,3.4099,3.3746,132.8459,,29.8278,17.4912,156.8973,1.1690,1.2885,1.5649,9.8729,2.7456,3.4534,3.4004,135.0506,,27.7067%,13.4982%,2.6428%,0.3410%,23.5578%,10.5712%,9.4629%,0.1137%,0.2842%,0.1705%,0.0568%,0.0853%,0.0568%,11.4521%,0.0000%,,23.5849%,11.4901%,2.2496%,0.2903%,20.0532%,8.9985%,8.0552%,0.0968%,0.2419%,0.1451%,0.0484%,0.0726%,0.0484%,9.7484%,0.0000%,,975,475,93,12,829,372,333,4,10,6,2,3,2,403,0
